   105.00  23.00   6.82 200.00   3.96  25.86   0.00   200   556  -0.02
   135.00  23.00   7.33 185.04   3.96  25.87   0.00   224   556  -0.24
   165.00  23.00   7.14 224.00   3.95  25.84   0.00   224   556  -0.45
   195.00  23.02   5.38 163.00   3.96  25.87   0.00   163   556  -0.61
   225.00  23.47   4.89  33.59   4.00  26.17   0.00    36   556  -0.76
   255.00  24.16   4.41  36.00   4.07  26.57   0.00    36   556  -0.88
   285.00  24.77   5.39  31.18   4.10  26.81   0.00    41   556  -0.99
   315.00  23.74   7.08  53.87   4.09  26.73   0.00    73   555  -0.10
    15.00  23.03   5.58 216.55   3.99  26.10   0.00   280   555  -0.15
    45.00  23.00   4.71  98.25   3.97  25.93   0.00   101   555  -0.17
    75.00  23.00   5.91 227.34   3.97  25.93   0.00   280   555  -0.24
   105.00  23.00   6.82 280.00   3.97  25.93   0.00   280   555  -0.39
   135.00  23.00   7.33 280.00   3.97  25.94   0.00   280   555  -0.60
   165.00  23.00   7.14 280.00   3.97  25.94   0.00   280   555  -0.82
   195.00  23.02   5.38 280.00   3.97  25.96   0.00   280   555  -0.98
   225.00  23.46   4.88  33.57   4.01  26.20   0.00    36   554  -0.12
   255.00  24.16   4.40  36.00   4.05  26.51   0.00    36   554  -0.24
   285.00  24.77   5.39  31.16   4.08  26.69   0.00    41   554  -0.35
   315.00  23.74   7.08  53.81   4.06  26.60   0.00    73   554  -0.47
    15.00  23.03   5.58 238.79   3.99  26.12   0.00   309   554  -0.52
    45.00  23.00   4.71  96.22   3.97  25.97   0.00   100   554  -0.54
    75.00  23.00   5.91 237.87   3.97  25.99   0.00   309   554  -0.61
   105.00  23.00   6.82 309.00   3.98  26.00   0.00   309   554  -0.76
   135.00  23.00   7.33 313.85   3.97  25.99   0.00   345   554  -0.97
   165.00  23.00   7.14 369.81   3.96  25.89   0.00   374   553  -0.18
   195.00  23.02   5.38 374.00   3.96  25.90   0.00   374   553  -0.34
   225.00  23.47   4.89  33.74   4.00  26.16   0.00    36   553  -0.49
   255.00  24.16   4.41  36.00   4.06  26.51   0.00    36   553  -0.61
   285.00  24.77   5.39  31.21   4.09  26.73   0.00    41   553  -0.72
   315.00  23.74   7.08  53.90   4.07  26.65   0.00    73   553  -0.83
    15.00  23.03   5.58 257.16   3.99  26.12   0.00   338   553  -0.89
    45.00  23.00   4.71 244.00   3.97  25.98   0.00   244   553  -0.90
    75.00  23.00   5.91 262.75   3.97  25.99   0.00   338   553  -0.97
   105.00  23.00   6.81 338.00   3.97  25.99   0.00   338   552  -0.12
   135.00  23.00   7.33 259.50   3.97  25.99   0.00   261   552  -0.33
   165.00  23.00   7.14 261.00   3.97  25.99   0.00   261   552  -0.54
   195.00  23.01   5.38 242.00   3.98  26.00   0.00   242   552  -0.71
   225.00  23.46   4.87  33.46   4.01  26.24   0.00    35   552  -0.85
   255.00  24.16   4.40  35.99   4.07  26.58   0.00    36   552  -0.97
   285.00  24.77   5.39  31.13   4.09  26.79   0.00    41   551  -0.08
   315.00  23.74   7.07  53.74   4.07  26.66   0.00    73   551  -0.19
    15.00  23.03   5.58 185.14   4.00  26.21   0.00   231   551  -0.25
    45.00  23.00   4.71  94.09   3.96  25.98   0.00   101   551  -0.26
    75.00  23.00   5.91 179.88   3.96  26.00   0.00   230   551  -0.33
   105.00  23.00   6.81 230.00   3.97  26.00   0.00   230   551  -0.48
   135.00  23.00   7.33 230.00   3.97  26.01   0.00   230   551  -0.69
   165.00  23.00   7.14 230.00   3.97  26.01   0.00   230   551  -0.91
   195.00  23.01   5.38 230.00   3.97  26.01   0.00   230   550  -0.07
   225.00  23.46   4.88  33.51   4.00  26.20   0.00    36   550  -0.21
   255.00  24.16   4.40  36.00   4.04  26.47   0.00    36   550  -0.33
   285.00  24.77   5.39  31.16   4.06  26.64   0.00    41   550  -0.45
   315.00  23.74   7.08  53.81   4.04  26.55   0.00    73   550  -0.56
    15.00  23.03   5.58 154.10   4.00  26.22   0.00   187   550  -0.61
    45.00  23.00   4.71  95.70   3.98  26.09   0.00   101   550  -0.63
